"Education index"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"56"," Kuwait","0.476","","0.429","","0.382","","0.417","","0.464","","0.515","","0.566","","0.572","","0.583","","0.595","","0.595","","0.592","","0.598","","0.603","","0.598","","0.583","","0.594","","0.592","","0.595","","0.596","","0.599","","0.601","","0.604","","0.601","","0.608","","0.616","","0.618","","0.620",""
"122"," Kyrgyzstan","0.619","","0.616","","0.615","","0.609","","0.600","","0.597","","0.603","","0.612","","0.626","","0.646","","0.657","","0.669","","0.674","","0.683","","0.683","","0.687","","0.693","","0.694","","0.690","","0.693","","0.697","","0.697","","0.710","","0.721","","0.728","","0.728","","0.735","","0.735",""
"139"," Lao People's Democratic Republic","0.288","","0.294","","0.299","","0.304","","0.315","","0.309","","0.328","","0.336","","0.345","","0.350","","0.352","","0.354","","0.364","","0.375","","0.382","","0.390","","0.395","","0.402","","0.410","","0.420","","0.429","","0.447","","0.459","","0.471","","0.477","","0.484","","0.485","","0.485",""
"41"," Latvia","0.604","","0.610","","0.613","","0.609","","0.609","","0.619","","0.631","","0.645","","0.666","","0.688","","0.707","","0.742","","0.769","","0.795","","0.822","","0.841","","0.845","","0.850","","0.857","","0.852","","0.850","","0.848","","0.843","","0.859","","0.865","","0.866","","0.866","","0.866",""
"80"," Lebanon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.619","","0.610","","0.623","","0.627","","0.633","","0.631","","0.637","","0.619","","0.623","","0.626","","0.630","","0.634","","0.637",""
"159"," Lesotho","0.415","","0.418","","0.419","","0.413","","0.424","","0.430","","0.429","","0.429","","0.429","","0.428","","0.450","","0.456","","0.460","","0.469","","0.471","","0.473","","0.475","","0.482","","0.480","","0.498","","0.492","","0.498","","0.505","","0.499","","0.502","","0.498","","0.502","","0.502",""
"181"," Liberia","","","","","","","","","","","","","","","","","","","0.354","","0.408","","0.407","","0.406","","0.406","","0.405","","0.404","","0.403","","0.403","","0.402","","0.401","","0.400","","0.407","","0.414","","0.420","","0.425","","0.425","","0.430","","0.434",""
"108"," Libya","0.516","","0.527","","0.537","","0.548","","0.558","","0.568","","0.579","","0.589","","0.600","","0.610","","0.621","","0.631","","0.642","","0.646","","0.644","","0.642","","0.640","","0.639","","0.637","","0.635","","0.634","","0.625","","0.616","","0.616","","0.616","","0.616","","0.616","","0.616",""
"17"," Liechtenstein","","","","","","","","","","","","","","","","","","","","","0.716","","0.728","","0.739","","0.751","","0.763","","0.767","","0.775","","0.782","","0.796","","0.795","","0.807","","0.819","","0.827","","0.824","","0.818","","0.820","","0.827","","0.827",""
"35"," Lithuania","0.655","","0.658","","0.651","","0.647","","0.650","","0.661","","0.679","","0.699","","0.718","","0.740","","0.762","","0.783","","0.801","","0.821","","0.829","","0.848","","0.856","","0.863","","0.871","","0.853","","0.854","","0.850","","0.844","","0.848","","0.880","","0.880","","0.879","","0.879",""
"21"," Luxembourg","0.602","","0.610","","0.618","","0.625","","0.633","","0.639","","0.657","","0.668","","0.684","","0.712","","0.717","","0.725","","0.734","","0.739","","0.746","","0.752","","0.759","","0.766","","0.767","","0.774","","0.780","","0.780","","0.779","","0.778","","0.783","","0.788","","0.792","","0.792",""
"161"," Madagascar","","","","","","","","","","","","","","","","","","","","","0.399","","0.404","","0.412","","0.420","","0.428","","0.438","","0.443","","0.453","","0.465","","0.481","","0.484","","0.484","","0.489","","0.492","","0.494","","0.498","","0.498","","0.498",""
"171"," Malawi","0.231","","0.239","","0.271","","0.280","","0.290","","0.385","","0.381","","0.387","","0.392","","0.395","","0.378","","0.388","","0.388","","0.387","","0.375","","0.373","","0.381","","0.383","","0.406","","0.421","","0.428","","0.433","","0.438","","0.442","","0.445","","0.445","","0.450","","0.451",""
"57"," Malaysia","0.488","","0.499","","0.511","","0.518","","0.527","","0.536","","0.555","","0.574","","0.594","","0.603","","0.619","","0.613","","0.611","","0.620","","0.621","","0.608","","0.615","","0.640","","0.664","","0.676","","0.687","","0.694","","0.696","","0.701","","0.708","","0.713","","0.719","","0.719",""
"101"," Maldives","","","","","","","","","","","0.354","","0.368","","0.384","","0.401","","0.419","","0.430","","0.438","","0.435","","0.451","","0.451","","0.451","","0.451","","0.461","","0.470","","0.477","","0.494","","0.513","","0.525","","0.538","","0.551","","0.561","","0.560","","0.560",""
"182"," Mali","0.081","","0.085","","0.091","","0.098","","0.106","","0.114","","0.123","","0.136","","0.146","","0.159","","0.168","","0.179","","0.191","","0.203","","0.214","","0.226","","0.237","","0.222","","0.260","","0.270","","0.277","","0.283","","0.284","","0.279","","0.285","","0.286","","0.287","","0.293",""
"29"," Malta","0.605","","0.610","","0.614","","0.618","","0.620","","0.622","","0.625","","0.631","","0.646","","0.647","","0.648","","0.657","","0.662","","0.678","","0.700","","0.737","","0.729","","0.734","","0.733","","0.744","","0.769","","0.763","","0.777","","0.789","","0.798","","0.810","","0.818","","0.818",""
"106"," Marshall Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.723",""
"159"," Mauritania","0.178","","0.184","","0.195","","0.212","","0.234","","0.240","","0.249","","0.253","","0.266","","0.274","","0.279","","0.282","","0.286","","0.291","","0.307","","0.311","","0.319","","0.318","","0.317","","0.333","","0.338","","0.344","","0.359","","0.371","","0.381","","0.381","","0.385","","0.389",""
"65"," Mauritius","0.481","","0.489","","0.497","","0.504","","0.512","","0.520","","0.523","","0.527","","0.535","","0.542","","0.546","","0.561","","0.569","","0.583","","0.595","","0.614","","0.623","","0.632","","0.642","","0.655","","0.664","","0.681","","0.699","","0.707","","0.729","","0.721","","0.729","","0.729",""
"74"," Mexico","0.480","","0.481","","0.487","","0.491","","0.500","","0.510","","0.517","","0.523","","0.532","","0.538","","0.548","","0.554","","0.566","","0.579","","0.588","","0.595","","0.611","","0.613","","0.619","","0.627","","0.623","","0.638","","0.650","","0.648","","0.655","","0.666","","0.678","","0.678",""
"131"," Micronesia (Federated States of)","","","","","","","","","","","","","","","","","","","","","0.441","","0.453","","0.465","","0.478","","0.490","","0.503","","0.515","","0.527","","0.540","","0.552","","0.564","","0.573","","0.581","","0.590","","0.590","","0.590","","0.592","","0.590",""
"112"," Moldova (Republic of)","0.598","","0.597","","0.596","","0.595","","0.594","","0.593","","0.586","","0.590","","0.603","","0.615","","0.617","","0.623","","0.638","","0.652","","0.666","","0.676","","0.690","","0.700","","0.698","","0.697","","0.696","","0.699","","0.709","","0.716","","0.714","","0.709","","0.710","","0.710",""
"92"," Mongolia","0.539","","0.527","","0.504","","0.474","","0.473","","0.474","","0.486","","0.495","","0.508","","0.518","","0.534","","0.557","","0.570","","0.593","","0.612","","0.639","","0.652","","0.668","","0.685","","0.701","","0.721","","0.734","","0.740","","0.745","","0.750","","0.754","","0.766","","0.766",""
"50"," Montenegro","","","","","","","","","","","","","","","","","","","","","","","","","","","0.693","","0.705","","0.718","","0.734","","0.751","","0.767","","0.780","","0.787","","0.787","","0.791","","0.791","","0.791","","0.790","","0.790","","0.790",""
"123"," Morocco","0.254","","0.258","","0.264","","0.274","","0.284","","0.295","","0.303","","0.310","","0.316","","0.331","","0.348","","0.361","","0.377","","0.390","","0.400","","0.409","","0.412","","0.422","","0.429","","0.437","","0.449","","0.463","","0.481","","0.495","","0.504","","0.510","","0.525","","0.529",""
"180"," Mozambique","0.131","","0.133","","0.134","","0.139","","0.147","","0.159","","0.177","","0.191","","0.206","","0.220","","0.236","","0.253","","0.268","","0.282","","0.298","","0.318","","0.328","","0.347","","0.360","","0.366","","0.373","","0.368","","0.366","","0.383","","0.383","","0.385","","0.385","","0.385",""
"148"," Myanmar","0.251","","0.268","","0.286","","0.291","","0.296","","0.296","","0.301","","0.305","","0.310","","0.315","","0.319","","0.324","","0.329","","0.334","","0.339","","0.344","","0.350","","0.359","","0.370","","0.381","","0.392","","0.407","","0.417","","0.427","","0.431","","0.436","","0.440","","0.443",""
"129"," Namibia","0.495","","0.496","","0.508","","0.520","","0.532","","0.528","","0.523","","0.517","","0.514","","0.506","","0.510","","0.521","","0.517","","0.520","","0.518","","0.516","","0.513","","0.519","","0.521","","0.528","","0.538","","0.549","","0.557","","0.562","","0.565","","0.565","","0.569","","0.571",""
"149"," Nepal","0.276","","0.283","","0.291","","0.293","","0.295","","0.299","","0.310","","0.315","","0.320","","0.325","","0.330","","0.322","","0.341","","0.346","","0.353","","0.359","","0.375","","0.381","","0.395","","0.416","","0.443","","0.451","","0.475","","0.484","","0.488","","0.495","","0.502","","0.502",""
"10"," Netherlands","0.746","","0.756","","0.756","","0.764","","0.829","","0.815","","0.822","","0.814","","0.815","","0.813","","0.821","","0.829","","0.824","","0.832","","0.835","","0.844","","0.851","","0.862","","0.866","","0.865","","0.871","","0.896","","0.895","","0.899","","0.902","","0.903","","0.905","","0.906",""
"16"," New Zealand","0.787","","0.797","","0.807","","0.829","","0.846","","0.854","","0.858","","0.867","","0.869","","0.864","","0.869","","0.872","","0.887","","0.888","","0.888","","0.888","","0.890","","0.892","","0.894","","0.897","","0.899","","0.901","","0.903","","0.905","","0.907","","0.914","","0.917","","0.917",""
"124"," Nicaragua","0.349","","0.366","","0.375","","0.383","","0.390","","0.398","","0.410","","0.422","","0.433","","0.445","","0.457","","0.468","","0.479","","0.482","","0.485","","0.488","","0.491","","0.498","","0.506","","0.513","","0.520","","0.524","","0.529","","0.536","","0.553","","0.553","","0.558","","0.558",""
"189"," Niger","0.082","","0.084","","0.086","","0.090","","0.093","","0.097","","0.101","","0.105","","0.109","","0.112","","0.116","","0.120","","0.124","","0.126","","0.137","","0.144","","0.149","","0.154","","0.162","","0.170","","0.180","","0.189","","0.200","","0.204","","0.207","","0.208","","0.212","","0.214",""
"157"," Nigeria","","","","","","","","","","","","","","","","","","","","","","","","","","","0.411","","0.424","","0.426","","0.428","","0.431","","0.435","","0.438","","0.407","","0.424","","0.464","","0.475","","0.475","","0.477","","0.483","","0.483",""
"1"," Norway","0.772","","0.782","","0.792","","0.808","","0.839","","0.826","","0.832","","0.841","","0.868","","0.876","","0.888","","0.878","","0.880","","0.892","","0.913","","0.901","","0.907","","0.907","","0.905","","0.905","","0.912","","0.914","","0.907","","0.914","","0.907","","0.908","","0.915","","0.915",""
"48"," Oman","","","","","","","","","","","","","","","","","","","","","0.475","","0.492","","0.510","","0.532","","0.543","","0.553","","0.562","","0.577","","0.614","","0.627","","0.635","","0.647","","0.664","","0.681","","0.692","","0.706","","0.706","","0.706",""
"150"," Pakistan","0.205","","0.210","","0.215","","0.221","","0.226","","0.232","","0.237","","0.243","","0.248","","0.254","","0.259","","0.270","","0.280","","0.290","","0.311","","0.330","","0.335","","0.347","","0.349","","0.359","","0.365","","0.370","","0.376","","0.380","","0.395","","0.398","","0.411","","0.411",""
"60"," Palau","","","","","","","","","","","","","","","","","","","","","0.761","","0.762","","0.763","","0.765","","0.766","","0.767","","0.773","","0.779","","0.784","","0.790","","0.795","","0.801","","0.803","","0.810","","0.818","","0.826","","0.837","","0.844",""
"119"," Palestine, State of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.607","","0.611","","0.620","","0.639","","0.644","","0.651","","0.655","","0.660","","0.667","","0.654","","0.655","","0.657","","0.660","","0.660",""
"66"," Panama","0.538","","0.543","","0.552","","0.562","","0.565","","0.577","","0.586","","0.596","","0.607","","0.617","","0.627","","0.637","","0.645","","0.651","","0.655","","0.658","","0.661","","0.665","","0.663","","0.665","","0.665","","0.662","","0.668","","0.674","","0.681","","0.681","","0.687","","0.692",""
"153"," Papua New Guinea","0.207","","0.214","","0.221","","0.228","","0.225","","0.241","","0.250","","0.259","","0.268","","0.273","","0.284","","0.296","","0.306","","0.316","","0.330","","0.340","","0.353","","0.367","","0.375","","0.389","","0.405","","0.419","","0.419","","0.425","","0.420","","0.429","","0.429","","0.430",""
"110"," Paraguay","0.431","","0.442","","0.452","","0.463","","0.471","","0.480","","0.488","","0.499","","0.509","","0.520","","0.524","","0.546","","0.568","","0.571","","0.579","","0.581","","0.569","","0.568","","0.582","","0.576","","0.599","","0.606","","0.609","","0.628","","0.630","","0.637","","0.631","","0.631",""
"89"," Peru","0.551","","0.556","","0.555","","0.558","","0.568","","0.581","","0.586","","0.590","","0.613","","0.636","","0.636","","0.655","","0.646","","0.636","","0.647","","0.653","","0.635","","0.642","","0.653","","0.656","","0.652","","0.678","","0.666","","0.674","","0.696","","0.686","","0.688","","0.689",""
"113"," Philippines","0.519","","0.523","","0.527","","0.530","","0.533","","0.536","","0.549","","0.552","","0.556","","0.565","","0.568","","0.573","","0.584","","0.589","","0.611","","0.611","","0.610","","0.619","","0.626","","0.615","","0.622","","0.633","","0.644","","0.655","","0.657","","0.661","","0.661","","0.661",""
"33"," Poland","0.665","","0.671","","0.676","","0.698","","0.710","","0.713","","0.723","","0.741","","0.756","","0.770","","0.777","","0.787","","0.804","","0.811","","0.796","","0.804","","0.808","","0.811","","0.815","","0.822","","0.832","","0.833","","0.817","","0.853","","0.822","","0.853","","0.862","","0.866",""
"41"," Portugal","0.536","","0.550","","0.573","","0.606","","0.621","","0.632","","0.644","","0.652","","0.661","","0.652","","0.661","","0.669","","0.670","","0.677","","0.673","","0.677","","0.681","","0.691","","0.701","","0.707","","0.715","","0.724","","0.733","","0.751","","0.755","","0.757","","0.759","","0.759",""
"37"," Qatar","0.507","","0.503","","0.502","","0.523","","0.545","","0.562","","0.588","","0.596","","0.604","","0.611","","0.613","","0.616","","0.625","","0.642","","0.646","","0.657","","0.648","","0.652","","0.663","","0.657","","0.637","","0.662","","0.678","","0.701","","0.698","","0.698","","0.698","","0.698",""
"52"," Romania","0.632","","0.609","","0.600","","0.597","","0.598","","0.606","","0.622","","0.628","","0.634","","0.648","","0.654","","0.657","","0.667","","0.683","","0.703","","0.716","","0.733","","0.756","","0.777","","0.786","","0.783","","0.777","","0.763","","0.767","","0.765","","0.767","","0.762","","0.762",""
"49"," Russian Federation","0.663","","0.664","","0.662","","0.658","","0.656","","0.662","","0.674","","0.682","","0.694","","0.705","","0.724","","0.735","","0.746","","0.757","","0.760","","0.762","","0.764","","0.767","","0.770","","0.763","","0.772","","0.784","","0.796","","0.806","","0.812","","0.828","","0.832","","0.832",""
"158"," Rwanda","0.218","","0.222","","0.226","","0.230","","0.235","","0.239","","0.244","","0.248","","0.243","","0.262","","0.276","","0.282","","0.296","","0.316","","0.337","","0.354","","0.381","","0.395","","0.394","","0.416","","0.437","","0.440","","0.443","","0.440","","0.445","","0.434","","0.450","","0.450",""
"72"," Saint Kitts and Nevis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.598","","0.602","","0.606","","0.610","","0.618","","0.631","","0.642","","0.652","","0.663","","0.674","","0.674","","0.674","","0.680",""
"90"," Saint Lucia","","","","","","","","","","","","","","","","","","","","","0.586","","0.585","","0.585","","0.584","","0.584","","0.594","","0.608","","0.607","","0.616","","0.623","","0.644","","0.651","","0.645","","0.652","","0.661","","0.676","","0.676","","0.676",""
"99"," Saint Vincent and the Grenadines","","","","","","","","","","","","","","","","","","","","","0.608","","0.614","","0.616","","0.626","","0.629","","0.635","","0.639","","0.646","","0.643","","0.648","","0.657","","0.661","","0.657","","0.661","","0.654","","0.655","","0.655","","0.655",""
"104"," Samoa","0.577","","0.582","","0.588","","0.593","","0.598","","0.604","","0.609","","0.610","","0.619","","0.627","","0.627","","0.632","","0.637","","0.642","","0.647","","0.652","","0.656","","0.661","","0.666","","0.671","","0.676","","0.681","","0.684","","0.688","","0.688","","0.689","","0.692","","0.692",""
"143"," Sao Tome and Principe","0.323","","0.331","","0.339","","0.347","","0.355","","0.363","","0.371","","0.379","","0.386","","0.394","","0.402","","0.408","","0.413","","0.418","","0.426","","0.433","","0.437","","0.441","","0.436","","0.453","","0.455","","0.466","","0.476","","0.489","","0.500","","0.534","","0.546","","0.557",""
"39"," Saudi Arabia","0.489","","0.495","","0.502","","0.508","","0.515","","0.522","","0.529","","0.535","","0.542","","0.549","","0.555","","0.563","","0.572","","0.580","","0.594","","0.604","","0.619","","0.634","","0.649","","0.664","","0.691","","0.719","","0.747","","0.770","","0.787","","0.787","","0.787","","0.787",""
"164"," Senegal","0.198","","0.198","","0.199","","0.200","","0.201","","0.202","","0.203","","0.204","","0.206","","0.208","","0.213","","0.235","","0.242","","0.249","","0.256","","0.263","","0.267","","0.278","","0.289","","0.294","","0.301","","0.320","","0.333","","0.340","","0.347","","0.354","","0.361","","0.368",""
"67"," Serbia","0.610","","0.618","","0.626","","0.633","","0.641","","0.648","","0.654","","0.660","","0.666","","0.671","","0.677","","0.684","","0.684","","0.693","","0.700","","0.713","","0.716","","0.716","","0.724","","0.726","","0.722","","0.744","","0.741","","0.744","","0.756","","0.766","","0.778","","0.778",""
"62"," Seychelles","","","","","","","","","","","","","","","","","","","","","0.588","","0.576","","0.588","","0.595","","0.592","","0.621","","0.585","","0.630","","0.634","","0.637","","0.642","","0.622","","0.686","","0.702","","0.715","","0.721","","0.724","","0.727",""
"184"," Sierra Leone","0.190","","0.184","","0.194","","0.203","","0.213","","0.223","","0.232","","0.242","","0.251","","0.260","","0.270","","0.279","","0.287","","0.295","","0.303","","0.311","","0.318","","0.326","","0.334","","0.342","","0.349","","0.357","","0.364","","0.372","","0.374","","0.376","","0.382","","0.390",""
"9"," Singapore","0.488","","0.503","","0.519","","0.535","","0.551","","0.566","","0.583","","0.600","","0.616","","0.633","","0.649","","0.657","","0.670","","0.681","","0.688","","0.735","","0.729","","0.735","","0.750","","0.753","","0.795","","0.803","","0.816","","0.818","","0.828","","0.830","","0.830","","0.832",""
"38"," Slovakia","0.679","","0.686","","0.693","","0.699","","0.706","","0.714","","0.713","","0.708","","0.716","","0.713","","0.712","","0.704","","0.718","","0.729","","0.740","","0.753","","0.765","","0.779","","0.788","","0.795","","0.802","","0.818","","0.824","","0.823","","0.821","","0.831","","0.831","","0.831",""
"25"," Slovenia","0.696","","0.699","","0.709","","0.708","","0.714","","0.724","","0.732","","0.744","","0.761","","0.788","","0.795","","0.818","","0.831","","0.843","","0.852","","0.854","","0.862","","0.862","","0.868","","0.873","","0.878","","0.878","","0.859","","0.881","","0.876","","0.879","","0.887","","0.886",""
"152"," Solomon Islands","","","","","","","","","","","","","","","","","","","0.350","","0.336","","0.357","","0.377","","0.383","","0.388","","0.394","","0.413","","0.421","","0.426","","0.432","","0.437","","0.442","","0.447","","0.453","","0.458","","0.465","","0.465","","0.469",""
"113"," South Africa","0.532","","0.552","","0.581","","0.603","","0.617","","0.636","","0.639","","0.643","","0.646","","0.649","","0.652","","0.609","","0.644","","0.651","","0.653","","0.655","","0.656","","0.660","","0.681","","0.694","","0.690","","0.686","","0.685","","0.695","","0.703","","0.708","","0.708","","0.708",""
"187"," South Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.297","","0.297","","0.297","","0.297","","0.297","","0.297","","0.297","","0.297",""
"26"," Spain","0.591","","0.609","","0.627","","0.651","","0.671","","0.687","","0.697","","0.701","","0.704","","0.709","","0.715","","0.716","","0.717","","0.720","","0.725","","0.738","","0.744","","0.751","","0.758","","0.764","","0.780","","0.793","","0.800","","0.804","","0.813","","0.819","","0.824","","0.824",""
"76"," Sri Lanka","0.592","","0.600","","0.608","","0.606","","0.625","","0.633","","0.642","","0.652","","0.661","","0.670","","0.679","","0.689","","0.692","","0.698","","0.704","","0.710","","0.716","","0.721","","0.738","","0.738","","0.739","","0.743","","0.744","","0.747","","0.749","","0.751","","0.749","","0.749",""
"167"," Sudan","0.159","","0.167","","0.175","","0.183","","0.191","","0.198","","0.206","","0.214","","0.222","","0.230","","0.238","","0.244","","0.249","","0.255","","0.268","","0.274","","0.283","","0.282","","0.298","","0.305","","0.306","","0.299","","0.311","","0.316","","0.320","","0.324","","0.326","","0.328",""
"100"," Suriname","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.568","","0.572","","0.576","","0.579","","0.583","","0.542","","0.602","","0.607","","0.612","","0.617","","0.621","","0.632","","0.636","","0.636",""
"7"," Sweden","0.710","","0.715","","0.725","","0.779","","0.794","","0.807","","0.821","","0.845","","0.874","","0.878","","0.881","","0.883","","0.886","","0.894","","0.852","","0.853","","0.854","","0.854","","0.843","","0.845","","0.853","","0.851","","0.854","","0.863","","0.882","","0.902","","0.904","","0.904",""
"2"," Switzerland","0.695","","0.701","","0.706","","0.716","","0.721","","0.727","","0.741","","0.758","","0.776","","0.789","","0.803","","0.807","","0.805","","0.813","","0.819","","0.823","","0.834","","0.844","","0.855","","0.873","","0.877","","0.880","","0.885","","0.889","","0.892","","0.894","","0.897","","0.897",""
"155"," Syrian Arab Republic","0.417","","0.419","","0.419","","0.419","","0.419","","0.419","","0.422","","0.424","","0.427","","0.430","","0.433","","0.444","","0.442","","0.464","","0.485","","0.509","","0.522","","0.537","","0.533","","0.542","","0.537","","0.548","","0.561","","0.451","","0.431","","0.412","","0.412","","0.412",""
"127"," Tajikistan","0.652","","0.658","","0.663","","0.646","","0.633","","0.639","","0.634","","0.630","","0.625","","0.621","","0.624","","0.627","","0.634","","0.645","","0.646","","0.649","","0.652","","0.649","","0.673","","0.671","","0.671","","0.668","","0.668","","0.667","","0.664","","0.662","","0.660","","0.659",""
"154"," Tanzania (United Republic of)","0.273","","0.278","","0.280","","0.284","","0.285","","0.287","","0.286","","0.288","","0.297","","0.306","","0.314","","0.323","","0.332","","0.343","","0.354","","0.370","","0.380","","0.390","","0.400","","0.410","","0.416","","0.415","","0.426","","0.412","","0.420","","0.441","","0.441","","0.441",""
"83"," Thailand","0.387","","0.398","","0.406","","0.416","","0.425","","0.433","","0.446","","0.463","","0.485","","0.501","","0.517","","0.532","","0.544","","0.555","","0.567","","0.585","","0.588","","0.607","","0.611","","0.618","","0.624","","0.626","","0.626","","0.617","","0.629","","0.640","","0.650","","0.661",""
"80"," The former Yugoslav Republic of Macedonia","","","","","","","","","","","","","","","","","","","","","0.544","","0.557","","0.569","","0.581","","0.593","","0.608","","0.616","","0.624","","0.653","","0.657","","0.662","","0.667","","0.670","","0.673","","0.676","","0.689","","0.691","","0.691",""
"132"," Timor-Leste","","","","","","","","","","","","","","","","","","","","","0.364","","0.364","","0.370","","0.384","","0.399","","0.414","","0.428","","0.443","","0.468","","0.476","","0.493","","0.503","","0.503","","0.504","","0.504","","0.505","","0.505","","0.505",""
"165"," Togo","0.310","","0.322","","0.310","","0.316","","0.321","","0.348","","0.363","","0.371","","0.379","","0.387","","0.395","","0.405","","0.410","","0.416","","0.421","","0.425","","0.437","","0.423","","0.436","","0.450","","0.464","","0.477","","0.483","","0.489","","0.499","","0.500","","0.506","","0.506",""
"98"," Tonga","0.656","","0.662","","0.668","","0.673","","0.679","","0.685","","0.685","","0.685","","0.684","","0.684","","0.671","","0.679","","0.686","","0.712","","0.712","","0.712","","0.717","","0.730","","0.739","","0.748","","0.757","","0.761","","0.761","","0.763","","0.766","","0.769","","0.769","","0.770",""
"69"," Trinidad and Tobago","0.575","","0.575","","0.577","","0.582","","0.589","","0.597","","0.604","","0.611","","0.619","","0.626","","0.634","","0.641","","0.648","","0.655","","0.667","","0.676","","0.674","","0.696","","0.704","","0.706","","0.708","","0.710","","0.712","","0.714","","0.714","","0.715","","0.722","","0.722",""
"95"," Tunisia","0.406","","0.413","","0.420","","0.431","","0.448","","0.459","","0.470","","0.477","","0.496","","0.513","","0.526","","0.539","","0.549","","0.557","","0.573","","0.586","","0.594","","0.601","","0.612","","0.614","","0.625","","0.635","","0.633","","0.638","","0.640","","0.646","","0.656","","0.659",""
"64"," Turkey","0.399","","0.404","","0.410","","0.416","","0.421","","0.427","","0.435","","0.442","","0.459","","0.477","","0.493","","0.510","","0.524","","0.530","","0.530","","0.530","","0.545","","0.554","","0.555","","0.578","","0.608","","0.639","","0.651","","0.667","","0.678","","0.683","","0.689","","0.689",""
"108"," Turkmenistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.624","","0.625","","0.626","","0.626","","0.627","","0.627","","0.629","","0.626",""
"162"," Uganda","0.250","","0.254","","0.243","","0.256","","0.262","","0.268","","0.300","","0.333","","0.365","","0.398","","0.430","","0.439","","0.458","","0.464","","0.442","","0.445","","0.453","","0.461","","0.473","","0.477","","0.493","","0.487","","0.483","","0.489","","0.495","","0.501","","0.504","","0.525",""
"88"," Ukraine","0.648","","0.654","","0.654","","0.655","","0.659","","0.672","","0.684","","0.696","","0.708","","0.715","","0.717","","0.728","","0.742","","0.754","","0.755","","0.776","","0.781","","0.784","","0.786","","0.787","","0.788","","0.787","","0.791","","0.791","","0.794","","0.794","","0.794","","0.794",""
"34"," United Arab Emirates","0.484","","0.504","","0.509","","0.520","","0.534","","0.548","","0.560","","0.572","","0.585","","0.597","","0.609","","0.618","","0.627","","0.636","","0.645","","0.658","","0.667","","0.677","","0.686","","0.695","","0.703","","0.711","","0.719","","0.727","","0.732","","0.737","","0.738","","0.738",""
"14"," United Kingdom","0.644","","0.675","","0.707","","0.736","","0.764","","0.793","","0.801","","0.809","","0.816","","0.828","","0.836","","0.840","","0.842","","0.845","","0.861","","0.867","","0.859","","0.861","","0.872","","0.884","","0.896","","0.872","","0.866","","0.912","","0.920","","0.911","","0.914","","0.914",""
"13"," United States","0.836","","0.840","","0.850","","0.859","","0.863","","0.865","","0.864","","0.865","","0.866","","0.863","","0.854","","0.859","","0.861","","0.866","","0.867","","0.870","","0.874","","0.880","","0.893","","0.896","","0.902","","0.907","","0.906","","0.897","","0.898","","0.900","","0.903","","0.903",""
"55"," Uruguay","0.597","","0.601","","0.597","","0.601","","0.605","","0.609","","0.615","","0.629","","0.643","","0.648","","0.661","","0.674","","0.685","","0.697","","0.697","","0.688","","0.693","","0.686","","0.688","","0.713","","0.687","","0.703","","0.717","","0.731","","0.736","","0.731","","0.733","","0.733",""
"105"," Uzbekistan","","","","","","","","","","","","","","","","","","","","","0.601","","0.614","","0.627","","0.634","","0.639","","0.645","","0.649","","0.657","","0.659","","0.667","","0.674","","0.681","","0.692","","0.699","","0.702","","0.704","","0.708","","0.718",""
"138"," Vanuatu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512","","0.514","","0.516","","0.519","","0.521","","0.523","","0.525","","0.527","","0.529","","0.529","","0.529","","0.529","","0.529",""
"78"," Venezuela (Bolivarian Republic of)","0.444","","0.457","","0.466","","0.471","","0.475","","0.480","","0.484","","0.487","","0.492","","0.502","","0.503","","0.518","","0.549","","0.556","","0.569","","0.591","","0.611","","0.642","","0.662","","0.668","","0.686","","0.718","","0.719","","0.724","","0.729","","0.733","","0.733","","0.741",""
"116"," Viet Nam","0.348","","0.361","","0.374","","0.387","","0.400","","0.413","","0.427","","0.415","","0.455","","0.464","","0.474","","0.485","","0.496","","0.507","","0.518","","0.528","","0.539","","0.550","","0.561","","0.598","","0.583","","0.602","","0.608","","0.614","","0.613","","0.619","","0.621","","0.626",""
"178"," Yemen","0.219","","0.222","","0.224","","0.227","","0.230","","0.233","","0.237","","0.241","","0.244","","0.249","","0.258","","0.268","","0.278","","0.287","","0.297","","0.303","","0.305","","0.308","","0.311","","0.318","","0.326","","0.343","","0.349","","0.349","","0.349","","0.349","","0.349","","0.349",""
"144"," Zambia","0.365","","0.380","","0.396","","0.411","","0.426","","0.442","","0.447","","0.452","","0.457","","0.463","","0.468","","0.477","","0.486","","0.495","","0.505","","0.514","","0.522","","0.530","","0.538","","0.546","","0.555","","0.563","","0.572","","0.575","","0.577","","0.577","","0.580","","0.580",""
