Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Willie Snead,BAL,47.6,531.8,2.5,0.7,4.6,0,0.5,91.3
Robert Foster,BUF,32.9,539.1,3.5,0,0,0,0.1,91.3
A.J. Brown,TEN,40,515.2,2.9,0,0,0,0.1,88.5
Randall Cobb,DAL,45.4,489.9,2.6,2.5,10.1,0,0.4,87.8
David Moore,SEA,31.8,460.8,3.7,0.4,1.9,0,0.1,84.5
Tre'Quan Smith,NO,33.1,473.7,3.4,0.4,1.7,0,0.1,84.4
Nelson Agholor,PHI,36.6,446.4,3,3,23.1,0.1,0.4,82.6
Deebo Samuel,SF,37.6,481.9,2.6,1.4,8.8,0,0.8,82.3
Rashard Higgins,CLE,33.7,458,3.1,0.1,0.7,0,0.4,80.5
Trey Quinn,WAS,39.2,440.4,2.4,1.4,7.5,0,0.1,78.4
Breshad Perriman,TB,29.6,478.2,2.5,2.3,6.5,0,0.1,78.2
Andy Isabella,ARI,32.6,410.1,2.5,1.3,8.1,0,0.1,73.1
Demarcus Robinson,KC,28.2,387.9,3,0,0,0,0,70.6
John Ross,CIN,28.2,324.3,3.7,2.9,11.6,0,0.1,69.7
Chris Conley,JAC,31.6,402,2.2,0,0,0,0.2,69
Travis Benjamin,LAC,23.5,360,2,5.9,36.6,0.4,0.1,65.6
Mecole Hardman,KC,23.6,345.2,2.4,4.8,30.6,0.3,0.4,65.3
D.J. Chark,JAC,32.5,405.7,1.7,0,0,0,1.1,65
Miles Boykin,BAL,26.2,379,2.4,1,4.7,0,0.4,64.9
Hunter Renfrow,OAK,32.8,360.4,1.9,0,0,0,0.1,63.3
Phillip Dorsett,NE,25.6,323.4,2.4,1.8,12,0,0,60.5
Antonio Callaway,CLE,24.6,335.4,2.5,1,3.9,0,0.4,60.3
Equanimeous St. Brown,GB,26.1,355.4,1.8,0.4,3,0,0,59.7
Terry McLaurin,WAS,26.6,331.9,1.8,0,0,0,0.1,57.2
Demaryius Thomas,NE,23.7,299.3,2,0,0,0,0,53.6
Chris Hogan,CAR,21.5,313.1,1.8,0.1,0.3,0,0.1,52.6
Jalen Hurd,SF,21.2,266.3,1.6,6.6,40.3,0.3,0.1,52
Keelan Cole,JAC,23.1,302.5,1.6,0,0,0,0.1,51.2
Josh Reynolds,LAR,19.6,264.8,2.2,2.2,14,0,0,50.8
Cody Latimer,NYG,19,299.3,1.8,0,0,0,0,50
Kendrick Bourne,SF,20.9,268.9,1.6,0,0.1,0,0,46.8
Jarius Wright,CAR,22.6,264.1,1.3,1.5,10.8,0,0.2,46.5
Tim Patrick,DEN,20.5,285.6,1.1,2.1,7.5,0,0.1,46.1
Chester Rogers,IND,21,249.3,1.6,0.8,4.9,0,0,45.6
Hakeem Butler,ARI,19.1,255.9,1.7,0,0,0,0.1,45.4
J.J. Arcega-Whiteside,PHI,19.8,259,1.6,0,0,0,0.1,45.4
KeeSean Johnson,ARI,19.9,257.4,1.5,0,0,0,0.1,44.6
Jakobi Meyers,NE,20.6,257,1.4,0,0,0,0.1,44.5
Keith Kirkwood,NO,18.1,246.7,1.6,0,0,0,0,43.5
Bennie Fowler,NYG,17.3,251.4,1.5,0,0,0,0,42.6
Jakeem Grant,MIA,19.2,255.8,1.2,0.3,0.8,0,0.1,42.6
Chad Beebe,MIN,20.9,224.5,1.6,0,0,0,0.1,42.2
Ryan Switzer,PIT,21.6,222.2,1,2.6,14.4,0.2,0.1,41.6
Seth Roberts,BAL,18.9,239.5,1.2,0.1,1,0,0,40.7
Cordarrelle Patterson,CHI,13,151.2,0.9,12.7,76.9,0.6,0.1,38.2
Jaron Brown,SEA,13.8,198.6,1.5,0.3,3.6,0.1,0,36.6
Marcell Ateman,OAK,16.5,218.6,1.1,0,0,0,0.1,36.5
Laquon Treadwell,MIN,18.6,194.7,1.2,0,0,0,0,36
Jordan Taylor,MIN,17.2,198.7,1,0,0,0,0.1,34.4
Chris Moore,BAL,15.2,201.9,0.8,2.1,11.1,0,0.1,34
Justin Hardy,ATL,15.6,183.1,1.2,0,0,0,0,33.1
Ryan Grant,OAK,16.4,194.8,0.8,0,0,0,0,32.4
Darius Slayton,NYG,13.4,193.9,1,0,0,0,0.1,32
Preston Williams,MIA,14.8,188.3,0.8,0,0,0,0.1,31.1
Taywan Taylor,TEN,14.9,181.6,0.9,0.2,1.4,0,0,31
Aldrick Robinson,CAR,9.1,132.3,2.2,0,0,0,0,30.7
Justin Watson,TB,13.8,176.6,1,0,0,0,0.1,30.6
Tavon Austin,DAL,11.4,139.2,0.6,11.2,66.1,0.1,0.1,30.5
Diontae Johnson,PIT,14.4,193.9,0.7,0,0,0,0.1,30.5
Trent Taylor,SF,15,171.6,0.8,0,0,0,0.1,29.5
Jordan Matthews,SF,10.8,167.1,1.1,0,0,0,0,28.9
Eli Rogers,PIT,15.2,166.9,0.7,0.9,4.2,0,0,28.8
J.J. Nelson,OAK,12.3,162.2,0.7,1.3,7.6,0,0.1,27.6
Dontrelle Inman,NE,11.5,150.9,1.1,0,0,0,0,27.5
Gary Jennings,SEA,12.1,155.1,0.8,0,0,0,0.1,26.5
Tajae Sharpe,TEN,11.3,147,0.7,0.1,0.3,0,0,24.6
Jake Kumerow,GB,10.6,135.9,0.9,0,0,0,0,24.4
Torrey Smith,CAR,9.8,154.3,0.5,0.1,1,0,0,23.5
Deon Cain,IND,10.8,129.8,0.8,0,0,0,0.1,23.3
Maurice Harris,NE,9.5,129,0.9,0.5,2.1,0,0,23.1
Allen Hurns,MIA,9.7,134,0.8,0,0,0,0.1,23
Alex Erickson,CIN,10.5,126.7,0.6,0.9,5.1,0,0,22.3
Zach Pascal,IND,9.4,125.4,0.7,0.1,0.2,0,0,21.5
Travis Fulgham,DET,9.8,125.9,0.7,0,0,0,0.1,21.4
Russell Shepard,NYG,8.3,121,0.7,0,0.1,0,0,20.5
Cody Core,CIN,9.5,111.6,0.4,0,0,0,0,18.4
Kelvin Harmon,WAS,8.4,106.5,0.6,0,0,0,0.1,18.2
Riley Ridley,CHI,8.3,105.3,0.6,0,0,0,0,18.2
Chris Lacy,DET,8.8,99.6,0.5,0,0,0,0.1,17.4
Austin Carr,NO,6.9,89.8,0.8,0,0,0,0,17.4
Isaiah McKenzie,BUF,6.9,88.2,0.5,2.3,16.8,0.1,0,17.3
DeAndre Carter,HOU,8,93.8,0.6,0.1,0.2,0,0,17.1
Russell Gage,ATL,7.7,97.2,0.6,0,0,0,0,17
TJ Jones,NYG,8,97.1,0.5,0,0,0,0,16.9
Rishard Matthews,NO,6.8,94.9,0.6,0,0,0,0,16.4
Artavis Scott,LAC,7.2,90,0.5,0,0,0,0,15.6
Trevor Davis,GB,6.6,80.6,0.5,0,0.4,0,0,14.5
Andy Jones,DET,7.5,92.4,0.2,0,0,0,0,14.3
Mack Hollins,PHI,5.1,82.4,0.6,0,0,0,0,14.3
Geremy Davis,LAC,6,83.2,0.5,0,0,0,0,14.1
Byron Marshall,WAS,5.4,97.4,0.2,0.4,1,0,0,13.8
Josh Bellamy,NYJ,5.4,81.5,0.5,0.1,-0.1,0,0,13.6
Vyncint Smith,HOU,5.7,79.9,0.5,0,0,0,0,13.6
Josh Malone,CIN,7,86.1,0.2,0.3,-0.2,0,0,13.2
Amara Darboh,SEA,6.1,70.4,0.5,0,0,0,0,12.9
Derrick Willies,CLE,5.1,70,0.5,0,0,0,0,12.2
Jaelen Strong,CLE,3.8,67.4,0.6,0,0,0,0,12.2
K.J. Brent,TB,7.4,66.5,0.3,0,0,0,0,12.2
Bobo Wilson,TB,8.4,73.1,0.1,0.3,2.5,0,0,12.1
Brian Quick,WAS,5.7,68.7,0.4,0,0,0,0,11.9
Noah Brown,DAL,5.2,69.1,0.4,0,0,0,0,11.6
Darius Jennings,TEN,5.5,56.4,0.3,0.5,1.1,0,0,10
Damion Ratley,CLE,3.7,53.4,0.5,0,0,0,0,9.9
Deontay Burnett,NYJ,4.7,52.2,0.4,0,0,0,0,9.9
Brandon Zylstra,MIN,3.9,58.5,0.4,0,0,0,0,9.9
Brice Butler,MIA,5,65,0.1,0,0,0,0,9.6
Kevin White,ARI,4.2,57.2,0.3,0,0,0,0,9.6
Vince Mayle,LAC,2.6,44.8,0.6,0.1,-0.1,0,0,9.5
Tommylee Lewis,DET,4.1,46.9,0.4,0.2,1,0,0,9
Dwayne Harris,OAK,4.7,54.1,0,1.3,7.7,0,0,8.9
Darvin Kidsy,WAS,2.9,44.5,0.5,0,0,0,0,8.7
Jehu Chesson,WAS,3.4,50.1,0.3,0.1,0.1,0,0,8.4
Ray-Ray McCloud,BUF,2,40,0.2,3.4,15.9,0.1,0,8.1
Olabisi Johnson,MIN,3.2,39.5,0.2,0,0,0,0,6.8
Greg Dortch,NYJ,3,38.7,0.2,0,0,0,0,6.7
Gehrig Dieter,KC,3.1,36.2,0.3,0,0,0,0,6.7
Braxton Miller,PHI,2.8,37.3,0.2,0,0.1,0,0,6.6
Cam Sims,WAS,3.2,39.1,0.2,0,0,0,0,6.5
Tanner Gentry,CHI,2.8,38.5,0.2,0,0,0,0,6.5
Marcus Kemp,KC,3,40,0.1,0,0.3,0,0,6.4
River Cracraft,DEN,2.1,38.8,0.2,0,0,0,0,6.3
Terrelle Pryor,JAC,2.8,37.8,0.2,0,0,0,0,6.3
JoJo Natson,LAR,1.8,43,0.2,0.1,0,0,0,6.1
Kalif Raymond,TEN,3,34.5,0.2,0,0,0,0,5.9
Brandon Powell,DET,4.1,32.6,0.1,0.1,0.1,0,0,5.9
Javon Wims,CHI,2.4,35.7,0.2,0,0,0,0,5.9
Quadree Henderson,JAC,2.6,31.7,0.2,0,0,0,0,5.8
Richie James,SF,2.9,37.3,0.1,0,0,0,0,5.8
Hunter Sharp,CIN,2.5,33.3,0.2,0,0,0,0,5.7
Keon Hatcher,OAK,3,36,0.1,0,0,0,0,5.6
Jaleel Scott,BAL,2.6,32.5,0.2,0,0,0,0,5.4
Cameron Meredith,NE,3.2,30.8,0.1,0,0,0,0,5.4
Rashad Ross,CAR,1.6,20.4,0.4,0,0,0,0,5.1
Juwann Winfree,DEN,2.5,30.1,0.1,0,0,0,0,5
Charone Peake,NYJ,1.9,30.6,0.1,0,0,0,0,4.7
Auden Tate,CIN,2.4,30.4,0.1,0,0,0,0,4.6
Malik Turner,SEA,2.1,20.3,0.3,0,0,0,0,4.6
Andre Roberts,BUF,2.6,27,0.1,0,0.6,0,0,4.6
Victor Bolden Jr.,BUF,2.1,28.9,0.1,0,0,0,0,4.4
Allen Lazard,GB,2.4,24.4,0.1,0,0,0,0,4.4
Cam Phillips,BUF,1.9,27.5,0.1,0,0,0,0,4.3
Johnny Holton,PIT,2.1,25.5,0.1,0,0,0,0,4.2
Khadarel Hodge,LAR,2.1,23.7,0.1,0,0,0,0,4
Marcus Green,ATL,1.7,21.7,0.1,0,0,0,0,3.9
Byron Pringle,KC,1.7,21.1,0.2,0,0,0,0,3.8
Pharoh Cooper,ARI,2.7,24.2,0,0.1,0.1,0,0,3.8
Daurice Fountain,IND,1.5,18.8,0.2,0,0,0,0,3.7
Mike Thomas,LAR,1.6,19,0.2,0,0,0,0,3.7
Cedrick Wilson,DAL,1.6,18.4,0.2,0,0,0,0,3.7
Devin Smith,DAL,1.6,18.4,0.2,0,0,0,0,3.7
Charles Johnson,PHI,1.6,18.4,0.2,0,0,0,0,3.7
J'Mon Moore,GB,2.2,22.7,0,0,0,0,0,3.6
Isaiah Ford,MIA,1.6,21.9,0.1,0,0,0,0,3.5
DeAndrew White,CAR,1.3,15.9,0.2,0,0,0,0,3.4
Tim White,NYJ,1.4,17.2,0.1,0,0,0,0,3.2
Brittan Golden,NYG,1.3,17.5,0.1,0,0,0,0,3.1
Shelton Gibson,PHI,1.1,19,0.1,0,0,0,0,3.1
Keenan Reynolds,SEA,1.3,16.9,0.1,0,0,0,0,3.1
Chad Hansen,HOU,1.2,16.1,0.1,0,0,0,0,3
Deonte Thompson,NYJ,1.3,15.6,0.1,0,0,0,0,2.7
J.J. Jones,NYJ,1.1,15.8,0.1,0.1,0.5,0,0,2.6
Nick Williams,DEN,1.1,14.8,0.1,0,0,0,0,2.4
Michael Floyd,BAL,1.1,13.3,0.1,0,0,0,0,2.3
Chad Williams,ARI,1,13.2,0.1,0,0.1,0,0,2.3
Trent Sherfield,ARI,0.9,11.7,0.1,0,0,0,0,2.2
Damiere Byrd,ARI,1.4,13.7,0,0,0.1,0,0,2.1
Krishawn Hogan,IND,0.9,7.9,0.1,0,0,0,0,1.9
Marcus Johnson,IND,0.8,9.9,0.1,0,0.1,0,0,1.8
Matt Slater,NE,0.4,4.2,0,0,0,0,0,0.7
Dillon Mitchell,MIN,0,0,0,0,0,0,0,0
Tre McBride,JAC,0,0,0,0,0,0,0,0
Penny Hart,IND,0,0,0,0,0,0,0,0
Robert Davis,WAS,0,0,0,0,0,0,0,0
Joe Webb,HOU,0,0,0,0,0,0,0,0
Danny Etling,NE,0,0,0,0,0,0,0,0
Emanuel Hall,CHI,0,0,0,0,0,0,0,0
Jawill Davis,GB,0,0,0,0,0,0,0,0
Jester Weah,HOU,0,0,0,0,0,0,0,0
Da'Mari Scott,NYG,0,0,0,0,0,0,0,0
Lil'Jordan Humphrey,NO,0,0,0,0,0,0,0,0
Austin Proehl,LAR,0,0,0,0,0,0,0,0
Taquan Mizzell,CHI,0,0,0,0,0,0,0,0
Simmie Cobbs Jr.,NO,0,0,0,0,0,0,0,0
Kelvin McKnight,DEN,0,0,0,0,0,0,0,0
Alonzo Russell,NYG,0,0,0,0,0,0,0,0
Tanner McEvoy,TEN,0,0,0,0,0,0,0,0
Jalen Tolliver,TEN,0,0,0,0,0,0,0,0
Cam Batson,TEN,0,0,0,0,0,0,0,0
Ashton Dulin,IND,0,0,0,0,0,0,0,0
Carlton Agudosi,PHI,0,0,0,0,0,0,0,0
Jordan Lasley,OAK,0,0,0,0,0,0,0,0
John Ursua,SEA,0,0,0,0,0,0,0,0
Marvin Hall,CHI,0,0,0,0,0,0,0,0
Malachi Dupre,LAC,0,0,0,0,0,0,0,0
Terry Godwin,CAR,0,0,0,0,0,0,0,0
Josh Gordon,NE,0,0,0,0,0,0,0,0
Emmanuel Butler,NO,0,0,0,0,0,0,0,0
Chris Thompson,WAS,0,0,0,0,0,0,0,0
Antoine Wesley,BAL,0,0,0,0,0,0,0,0
Roger Lewis,IND,0,0,0,0,0,0,0,0
Tyre Brady,JAC,0,0,0,0,0,0,0,0
Marken Michel,PHI,0,0,0,0,0,0,0,0
Jaydon Mickens,CAR,0,0,0,0,0,0,0,0
Brendan Langley,DEN,0,0,0,0,0,0,0,0
Braxton Berrios,NE,0,0,0,0,0,0,0,0
